Company,Sector,Industry,Revenue,Profits,Employees
MICROSOFT,Healthcare,Banking Sector,504742,61181,67174
APPLE,Pharma,Stocks,837048,69972,54311
ORACLE,Automobile,Petroleum,726800,29047,64698
ORACLE,Automobile,Banking Sector,806113,47528,46358
IBM,Technology,Stocks,648285,78861,55361
AMAZON,Technology,Pharmaceutical,397933,69493,44062
TESLA,Energy,Software,334902,27074,38895
IBM,Automobile,Stocks,591732,22506,83117
WALMART,Healthcare,Banking Sector,825280,56537,76500
IBM,Pharma,Pharmaceutical,439527,31644,76649
WALMART,Retailing,Banking Sector,658469,40391,37953
MICROSOFT,Healthcare,Stocks,373235,75752,31722
ORACLE,Pharma,Banking Sector,615110,83305,38504
TESLA,Technology,Petroleum,449314,63187,76984
META,Pharma,Vehicle Manufacturing,554322,86353,34833
GOOGLE,Energy,Petroleum,596832,72057,74571
AMAZON,Energy,Stocks,703083,94859,68521
GOOGLE,Healthcare,Stocks,578633,76911,89684
APPLE,Healthcare,Petroleum,668269,31056,49931
GOOGLE,Retailing,Banking Sector,361422,56353,64006
ADOBE,Healthcare,Petroleum,387778,36729,71619
AMAZON,Energy,Stocks,780383,50691,70267
AMAZON,Technology,Stocks,745556,87106,40105
GOOGLE,Banking,Banking Sector,715996,16399,84082
APPLE,Technology,General,797612,86598,47344
WALMART,Retailing,Vehicle Manufacturing,773133,94753,31984
META,Banking,Pharmaceutical,798088,50596,61650
MICROSOFT,Healthcare,Vehicle Manufacturing,436882,70446,34782
APPLE,Retailing,Software,560810,74471,60437
MICROSOFT,Energy,Stocks,452766,52853,78116
ORACLE,Automobile,Stocks,513539,78499,66808
IBM,Energy,Healthcare,614131,27059,47529
META,Retailing,Stocks,226514,17632,49019
NETFLIX,Healthcare,Vehicle Manufacturing,385330,31932,83312
ORACLE,Pharma,Banking Sector,324055,31885,62654
AMAZON,Automobile,Software,448528,76191,31518
IBM,Automobile,Software,377422,39199,68230
ORACLE,Technology,General,420023,75866,69158
WALMART,Banking,Software,424628,81345,30535
IBM,Automobile,Stocks,402319,58943,80060
NETFLIX,Energy,General,545040,17705,67373
AMAZON,Retailing,Banking Sector,705096,48827,34818
NETFLIX,Pharma,Software,701566,47663,84087
TESLA,Banking,Petroleum,259913,23672,55814
ORACLE,Healthcare,Banking Sector,709929,58920,79477
GOOGLE,Retailing,Vehicle Manufacturing,649369,16276,32969
APPLE,Retailing,Banking Sector,621756,79069,59949
GOOGLE,Pharma,Stocks,468897,91356,50875
GOOGLE,Automobile,Pharmaceutical,747565,55089,63247
AMAZON,Pharma,Software,715268,50294,61122
APPLE,Energy,Banking Sector,831537,25366,57298
TESLA,Energy,General,750905,73205,47401
WALMART,Healthcare,Healthcare,178849,87483,61486
GOOGLE,Pharma,Vehicle Manufacturing,279954,42745,32069
TESLA,Banking,Petroleum,325051,13482,58903
ORACLE,Automobile,Stocks,558020,37724,56894
AMAZON,Healthcare,Software,190306,29098,63992
MICROSOFT,Pharma,Banking Sector,819395,73701,64437
NETFLIX,Energy,Stocks,606992,80878,52434
AMAZON,Energy,Pharmaceutical,764711,74462,42600
MICROSOFT,Energy,Pharmaceutical,360790,50008,80539
ADOBE,Banking,Healthcare,848769,75094,50777
META,Energy,Pharmaceutical,426769,26974,67583
WALMART,Pharma,Vehicle Manufacturing,538697,56237,80663
GOOGLE,Energy,General,426602,21358,52699
META,Banking,Pharmaceutical,627351,39047,43242
AMAZON,Energy,Pharmaceutical,268941,25316,70349
TESLA,Retailing,Healthcare,178231,80604,44789
WALMART,Retailing,General,230065,65172,51646
META,Technology,Stocks,130433,83135,40350
NETFLIX,Banking,Software,625641,37143,79539
ADOBE,Energy,Pharmaceutical,802273,18754,89502
IBM,Banking,Healthcare,686147,15888,89849
GOOGLE,Automobile,Stocks,163105,63034,81639
META,Retailing,Pharmaceutical,164286,12214,49555
TESLA,Pharma,Petroleum,476317,48298,59776
WALMART,Pharma,Software,265718,77088,60672
ADOBE,Retailing,Petroleum,471747,32298,77914
META,Banking,Pharmaceutical,320243,12846,78274
ORACLE,Healthcare,Pharmaceutical,720361,36318,41501
TESLA,Healthcare,Vehicle Manufacturing,573479,78538,51491
IBM,Automobile,Petroleum,318757,29430,61290
ORACLE,Retailing,General,398453,61275,45435
META,Healthcare,Pharmaceutical,470637,50576,68172
TESLA,Technology,Pharmaceutical,810436,58127,75401
MICROSOFT,Technology,Petroleum,613002,51213,40467
NETFLIX,Banking,Pharmaceutical,848821,26389,71858
ADOBE,Energy,Healthcare,354772,28507,61338
GOOGLE,Automobile,Banking Sector,561045,82989,89821
META,Healthcare,Healthcare,384486,89094,87221
IBM,Pharma,Software,678829,58419,35118
TESLA,Technology,General,699251,77255,43248
TESLA,Pharma,Stocks,297529,54007,85999
AMAZON,Automobile,Petroleum,838341,37922,76983
TESLA,Automobile,Petroleum,660167,69390,82998
APPLE,Automobile,Stocks,663179,65450,59936
TESLA,Technology,Software,830448,51392,77400
APPLE,Automobile,Pharmaceutical,128161,39560,67900
IBM,Technology,Vehicle Manufacturing,486264,19357,65465
APPLE,Technology,Software,158276,48629,56795
GOOGLE,Healthcare,Stocks,797687,66097,54540
NETFLIX,Automobile,Vehicle Manufacturing,518892,21518,74743
WALMART,Healthcare,Stocks,810280,56582,37774
GOOGLE,Pharma,Vehicle Manufacturing,679531,27691,77700
MICROSOFT,Healthcare,General,148839,50107,60343
WALMART,Banking,Vehicle Manufacturing,682772,60712,83959
MICROSOFT,Retailing,Software,487974,31332,48064
MICROSOFT,Banking,Petroleum,158782,65950,70299
APPLE,Retailing,Healthcare,195559,24224,68924
APPLE,Automobile,General,381622,16798,56362
META,Retailing,Healthcare,184185,29367,63023
ADOBE,Retailing,Banking Sector,730526,89370,80629
WALMART,Healthcare,Banking Sector,373411,50552,87426
GOOGLE,Banking,Healthcare,558649,50387,48032
APPLE,Pharma,Stocks,781401,66994,66428
META,Technology,Banking Sector,799565,60958,81498
AMAZON,Energy,Vehicle Manufacturing,553090,30558,49653
NETFLIX,Retailing,Software,377673,40536,49709
GOOGLE,Healthcare,Software,185423,84713,57045
NETFLIX,Pharma,Stocks,532286,42831,46711
MICROSOFT,Energy,Petroleum,596635,59637,36059
AMAZON,Banking,Healthcare,179040,46187,54718
WALMART,Pharma,General,201319,35662,82733
TESLA,Banking,Healthcare,627681,38379,86981
ORACLE,Energy,General,347096,35906,78593
IBM,Banking,Software,379377,90220,76122
MICROSOFT,Automobile,Healthcare,703897,53154,80824
ADOBE,Automobile,Software,684572,58088,50212
ADOBE,Energy,Software,613640,23924,82613
META,Healthcare,Banking Sector,337994,59589,50507
NETFLIX,Technology,Healthcare,278011,13125,47090
AMAZON,Pharma,Vehicle Manufacturing,434531,30976,42857
ORACLE,Retailing,Vehicle Manufacturing,722467,43208,62722
AMAZON,Banking,Banking Sector,394826,75044,77419
WALMART,Banking,Software,608214,33050,78022
ORACLE,Retailing,Stocks,698095,75004,42061
AMAZON,Banking,General,674395,15433,84989
IBM,Healthcare,General,131693,65053,39010
WALMART,Retailing,Petroleum,283366,12198,44334
AMAZON,Automobile,Banking Sector,188386,91980,71794
WALMART,Pharma,Software,816309,74944,31030
APPLE,Pharma,Vehicle Manufacturing,137426,13192,64695
ADOBE,Pharma,Pharmaceutical,142975,76826,83291
WALMART,Automobile,Stocks,237214,23624,64366
GOOGLE,Retailing,Healthcare,774887,80003,46542
ORACLE,Energy,Vehicle Manufacturing,207857,59896,56609
META,Pharma,Healthcare,361828,50318,74829
IBM,Banking,General,223042,64120,54855
NETFLIX,Pharma,Software,183840,94459,30619
GOOGLE,Technology,Software,579987,54420,67083
IBM,Pharma,General,365927,38710,89065
TESLA,Automobile,Pharmaceutical,173823,20744,74854
ADOBE,Pharma,General,313066,52220,31026
MICROSOFT,Pharma,Stocks,542643,21084,49613
GOOGLE,Pharma,Healthcare,719223,62007,74370
AMAZON,Energy,Vehicle Manufacturing,271748,21279,62819
ORACLE,Technology,Petroleum,583320,41427,84963
IBM,Energy,Vehicle Manufacturing,467230,14883,71557
ADOBE,Healthcare,Software,639435,40902,53318
AMAZON,Automobile,Vehicle Manufacturing,319760,87791,73297
NETFLIX,Technology,Pharmaceutical,383421,20634,35376
ADOBE,Retailing,Vehicle Manufacturing,789693,31221,78474
NETFLIX,Energy,Banking Sector,236726,22995,30340
ADOBE,Automobile,Banking Sector,407870,24399,38683
IBM,Retailing,Vehicle Manufacturing,595646,84005,66355
AMAZON,Automobile,Petroleum,152537,22746,53194
AMAZON,Technology,Banking Sector,528951,12617,49126
NETFLIX,Automobile,Petroleum,711716,42816,67483
AMAZON,Retailing,Vehicle Manufacturing,302735,29198,47623
ADOBE,Energy,Software,278023,19292,40958
NETFLIX,Energy,Vehicle Manufacturing,439313,74469,81292
IBM,Energy,Pharmaceutical,383568,92924,62492
TESLA,Pharma,Healthcare,605102,25021,38879
ADOBE,Technology,Vehicle Manufacturing,473354,92289,54896
ORACLE,Automobile,Banking Sector,576533,88908,38921
ADOBE,Energy,Healthcare,627278,52180,41641
NETFLIX,Energy,Pharmaceutical,788646,75357,67740
MICROSOFT,Energy,Vehicle Manufacturing,418916,62502,53921
IBM,Pharma,Healthcare,745995,82516,41791
WALMART,Healthcare,General,609045,38479,58734
ADOBE,Healthcare,Petroleum,554016,76444,39121
WALMART,Energy,Healthcare,389955,31203,76873
NETFLIX,Healthcare,Vehicle Manufacturing,202558,69860,69186
META,Pharma,Vehicle Manufacturing,685324,77402,86992
NETFLIX,Pharma,General,501993,81373,68916
WALMART,Technology,Petroleum,385289,57531,40901
WALMART,Pharma,General,715579,63378,79327
ORACLE,Healthcare,Vehicle Manufacturing,236090,12382,36462
ADOBE,Retailing,Healthcare,592432,60036,55633
META,Healthcare,Stocks,486724,14219,61638
IBM,Energy,Vehicle Manufacturing,215025,26213,84481
GOOGLE,Energy,Pharmaceutical,484731,70681,81397
MICROSOFT,Pharma,Software,490219,73411,36397
META,Banking,Software,459400,19804,49678
APPLE,Healthcare,Petroleum,148682,55967,72465
IBM,Banking,Stocks,380761,78632,41432
AMAZON,Retailing,Banking Sector,712044,66885,60281
MICROSOFT,Healthcare,Vehicle Manufacturing,785351,35176,42215
