Date,Country,Price(USD)
16-06-2020,UK,7.837940091
19-03-2022,Brazil,1.996001449
16-02-2021,Austria,3.449340848
04-08-2016,Canada,2.999657652
18-08-2015,India,6.563467961
20-02-2022,Germany,5.533481548
25-01-2019,Austria,6.99233597
25-11-2016,Nepal,2.832869401
10-09-2019,UK,6.112879247
21-03-2019,Brazil,4.465050361
30-01-2015,Canada,7.546857239
16-12-2023,USA,6.213551831
19-04-2018,Poland,2.188925098
18-02-2015,Nepal,6.597495119
02-02-2020,UK,3.240594337
28-12-2015,Austria,5.254000277
25-11-2020,India,4.453171479
06-06-2020,China,4.738396479
18-04-2015,UK,4.601915215
02-05-2022,Singapore,2.185361097
25-11-2020,Poland,8.494977279
06-04-2019,USA,8.282973801
15-08-2019,Austria,2.664177774
16-07-2016,Canada,4.869508926
06-05-2021,Nepal,7.817100059
31-05-2021,India,4.152811833
21-12-2020,Nepal,3.356421407
21-08-2015,Canada,3.496744603
13-05-2020,Argentina,8.201223486
14-06-2021,Singapore,6.133099184
28-06-2021,Canada,2.583577777
27-01-2021,China,3.023906289
07-06-2015,USA,5.554262036
03-02-2020,Singapore,1.926703
16-01-2015,Brazil,1.90015691
22-06-2016,Germany,4.83751962
03-03-2023,Singapore,2.602029096
09-09-2020,Singapore,2.060780257
09-10-2018,India,1.979649329
09-09-2015,UK,6.226487875
08-09-2019,Austria,4.326428859
09-08-2022,Germany,3.223507435
19-06-2017,Germany,1.778191636
18-06-2015,UK,4.434574407
12-01-2022,Germany,5.456588467
07-09-2022,Brazil,8.042943804
13-07-2022,Austria,6.188081823
15-09-2019,Brazil,3.170801668
14-07-2016,Nepal,2.416147975
05-10-2018,Poland,3.599979559
04-10-2021,Brazil,8.003128322
16-08-2021,UK,1.565208198
21-04-2021,Germany,8.489181086
09-12-2015,UK,2.012825048
27-10-2015,Austria,5.041192858
29-05-2016,India,8.032815646
30-05-2015,UK,7.654891697
07-11-2020,Brazil,3.494911739
14-02-2021,Canada,7.336214682
11-02-2018,Argentina,3.617620001
24-06-2022,Poland,5.202584848
05-12-2019,Poland,7.219728946
10-09-2022,China,8.022292276
17-10-2023,UK,8.072510027
12-03-2018,India,3.35126145
18-09-2019,UK,6.696916788
23-11-2021,India,3.406437486
23-08-2020,Germany,2.974407584
29-05-2018,Brazil,2.925181186
14-04-2016,Poland,7.470389708
02-03-2015,Singapore,4.919722965
03-02-2018,USA,2.146089274
27-12-2022,Nepal,7.305436626
09-03-2019,USA,1.524819824
14-04-2020,India,5.959793641
11-05-2018,China,2.631073834
08-06-2021,Canada,5.361762948
20-05-2022,Nepal,5.426348053
12-11-2019,UK,2.026707021
28-11-2015,Argentina,7.827500001
07-04-2016,Singapore,1.752196966
21-08-2023,Brazil,5.577566965
11-01-2017,India,4.50850699
04-09-2020,USA,3.65780845
09-01-2023,USA,7.792472456
30-09-2021,Austria,6.274466818
14-01-2020,Poland,2.219555352
15-06-2018,Singapore,7.68894291
19-01-2021,Nepal,8.316859158
07-02-2023,Argentina,2.581873368
27-05-2015,Austria,7.552239874
24-09-2020,India,7.669913433
30-08-2017,USA,2.755524644
24-04-2015,Brazil,6.976705473
06-05-2017,Nepal,7.115645973
25-12-2015,Argentina,7.175245216
28-01-2023,China,2.614384901
16-03-2021,Argentina,2.256669385
10-01-2020,USA,7.510152759
23-08-2021,Austria,2.89700981
13-07-2021,Canada,3.947608971
16-07-2022,Austria,3.06046483
26-04-2023,Poland,2.851908518
01-03-2015,Brazil,3.450221427
18-09-2019,UK,8.268223728
10-05-2021,China,3.958022904
16-05-2018,Singapore,4.297748691
11-04-2021,Singapore,3.818049078
24-10-2021,USA,2.307392263
17-04-2019,China,2.749974713
20-12-2017,China,1.767800381
13-06-2016,Germany,4.54194631
21-03-2018,Argentina,7.004997247
13-02-2016,Nepal,5.743461973
06-03-2020,Singapore,2.309520488
11-08-2017,Germany,2.830551422
14-05-2017,USA,6.461496987
03-03-2017,USA,5.13944244
28-02-2018,Singapore,6.308000028
13-05-2018,Argentina,6.659263854
10-05-2022,Austria,4.049550302
30-11-2023,UK,8.142121402
25-08-2019,Brazil,5.86208787
23-11-2015,Poland,7.436106957
17-11-2016,Argentina,7.800327846
02-02-2023,Singapore,3.664992635
13-05-2015,Nepal,3.783280334
15-03-2015,Argentina,3.569586418
11-01-2020,India,2.842880651
18-08-2019,Poland,8.082545695
23-08-2016,Poland,6.736941921
14-07-2018,India,5.808604412
29-11-2018,China,4.342526181
30-10-2021,USA,3.627124645
23-09-2016,Austria,4.50921705
27-09-2023,Germany,5.746630993
24-08-2021,Brazil,4.754917332
24-05-2015,Canada,6.229390632
08-07-2017,Singapore,4.812303301
17-03-2020,Argentina,2.687839773
20-03-2016,UK,3.486504835
01-01-2020,Poland,5.93058599
06-12-2022,Brazil,2.153710401
11-05-2017,Austria,6.209569694
27-11-2022,Austria,7.145940262
04-01-2022,India,1.670977714
13-02-2023,Austria,8.387552159
08-05-2017,Germany,7.448163862
18-05-2023,UK,4.687913179
28-03-2016,Poland,5.529696296
10-04-2015,Argentina,6.374479753
09-02-2016,Canada,4.29757004
13-12-2018,India,6.092406078
26-09-2017,USA,7.748618783
19-11-2017,UK,6.948942847
04-03-2016,Austria,2.731206772
10-12-2022,Argentina,5.125704253
12-02-2017,USA,5.401840558
24-03-2020,UK,4.695232778
17-04-2015,Canada,6.173044128
16-08-2019,Singapore,5.668166229
08-03-2022,Canada,5.788566259
21-06-2020,Argentina,7.744142074
16-03-2023,Nepal,7.313984188
19-12-2021,Singapore,4.621395285
13-07-2016,India,6.705588095
03-10-2020,Canada,4.650488301
18-07-2018,Austria,7.379040215
02-08-2017,China,6.86069579
01-05-2021,Singapore,4.892179119
22-08-2017,Austria,3.422182128
03-11-2020,UK,6.494814038
28-11-2019,Austria,3.40200575
15-07-2023,Brazil,7.75118783
31-01-2022,UK,2.468618431
30-11-2019,Austria,4.181247047
22-12-2019,India,6.444933992
03-08-2016,UK,4.404075271
29-11-2017,Brazil,5.298277984
10-08-2019,Nepal,1.935859974
24-07-2023,Nepal,4.226337689
23-09-2023,Germany,8.122434235
14-02-2019,USA,7.497124226
03-01-2016,Germany,4.162667202
11-04-2019,USA,8.099191602
08-09-2015,China,6.774325875
26-01-2022,Nepal,5.267543973
06-08-2016,Argentina,5.322926168
17-11-2019,Germany,7.784679432
16-04-2019,Canada,3.035951442
13-05-2018,Nepal,4.899493957
13-07-2017,Nepal,3.852906806
07-07-2017,Poland,7.086996271
11-05-2023,Argentina,2.655313118
28-04-2020,Canada,7.936791345
28-06-2018,Germany,5.238865407
27-04-2017,Nepal,5.643249429
01-06-2016,Poland,1.689714324
11-03-2020,Poland,4.500289388
16-05-2023,Canada,2.772103186
07-01-2019,China,4.153727049
31-05-2015,Austria,4.682895275
14-11-2015,Brazil,6.828607955
12-05-2016,Nepal,3.447796309
21-07-2020,Nepal,3.265900722
02-08-2022,UK,4.792147853
05-06-2015,Argentina,5.275933335
31-07-2016,Brazil,3.06955516
25-09-2016,UK,6.968631347
29-08-2023,Poland,1.781806963
15-01-2016,USA,8.147282129
14-04-2017,Austria,7.374601924
20-08-2015,Germany,2.56667642
20-02-2022,India,4.814927427
05-01-2016,UK,5.447787074
07-12-2021,Austria,4.755237884
19-10-2019,China,6.868286688
05-05-2023,India,5.741248848
07-01-2021,Argentina,6.5285006
04-09-2016,India,8.253045411
24-03-2023,UK,5.550793128
29-06-2023,China,5.530577099
27-09-2016,Nepal,4.276581091
26-03-2022,Argentina,2.88830844
01-11-2020,Germany,6.334300912
20-05-2022,Poland,3.199945664
25-08-2021,Argentina,6.907366195
04-06-2016,Poland,5.702881304
24-05-2015,UK,7.073590516
13-08-2017,Germany,6.978447425
24-10-2019,Brazil,5.229216717
29-11-2015,Poland,4.093996134
23-05-2023,Singapore,6.032802778
26-10-2023,USA,7.447029389
11-04-2021,Canada,2.238772095
05-01-2015,Brazil,5.949095743
15-07-2020,Canada,6.451160506
02-05-2017,Nepal,2.732958728
09-06-2015,Singapore,8.258316119
08-12-2017,China,5.811386478
14-08-2019,Singapore,6.922490153
11-10-2023,Canada,4.549021451
19-01-2019,Argentina,5.647322333
21-01-2018,Brazil,7.46199212
19-09-2023,UK,3.452497744
02-05-2015,Canada,3.207044074
25-03-2020,Canada,5.488947513
22-02-2019,Poland,4.152925129
18-07-2016,USA,4.960145525
31-12-2019,Brazil,2.772879
16-01-2018,Austria,3.983774763
01-03-2020,China,3.882371902
20-12-2016,Germany,6.408286252
13-10-2022,China,5.390537195
26-04-2021,Singapore,8.136438044
14-07-2017,UK,3.189492353
09-10-2015,Nepal,4.920044928
22-09-2015,Austria,6.334265376
30-03-2018,Poland,6.482896845
22-08-2021,Canada,7.050530077
09-01-2022,UK,3.559649069
22-09-2023,Nepal,6.342510087
12-12-2018,China,6.147720151
26-11-2016,Brazil,4.812823421
05-12-2019,Singapore,3.906301759
26-09-2023,Argentina,5.352719309
13-12-2017,Brazil,6.419984595
17-12-2023,China,3.646360939
08-07-2023,Austria,2.344591193
14-03-2015,Austria,3.708835608
22-03-2015,Argentina,5.251047758
08-04-2020,Argentina,2.796048897
25-02-2021,Austria,6.670232575
30-12-2020,China,6.572095008
31-05-2018,Singapore,5.677535184
23-09-2019,UK,7.328398543
24-11-2018,China,3.092382144
20-10-2017,India,3.615873121
04-04-2021,Argentina,5.238945625
02-02-2021,China,1.818609907
22-03-2018,USA,5.373512768
02-01-2022,Argentina,8.108627304
02-10-2021,Poland,7.579228381
25-05-2017,Canada,2.218113528
03-09-2023,USA,5.518449537
15-09-2018,Canada,4.85099946
16-10-2020,Brazil,2.790545693
17-12-2020,USA,3.267348733
04-04-2023,Canada,2.298609985
14-12-2023,UK,4.304952096
21-08-2022,UK,5.539148095
25-06-2019,Poland,1.87526352
05-04-2020,India,7.177994534
10-08-2017,China,2.096266359
23-02-2017,Austria,2.329160935
20-05-2018,Nepal,5.744223559
10-12-2015,Germany,3.079809959
29-08-2015,Singapore,4.162646183
08-10-2023,Canada,3.581471928
13-11-2020,Germany,8.430218823
01-09-2015,China,5.480406294
23-06-2021,USA,5.767416386
24-04-2019,Argentina,2.194635023
31-05-2020,Austria,5.878605213
21-03-2018,China,6.12299696
11-01-2020,India,3.179056244
26-09-2015,Singapore,2.025454082
10-10-2021,USA,4.359623009
20-04-2016,Argentina,5.656678366
28-05-2019,China,1.728478988
12-07-2022,China,6.448690809
17-02-2016,Argentina,7.517247119
20-07-2018,UK,6.31169444
10-04-2022,China,7.014796187
26-07-2022,Poland,5.628527124
19-04-2019,Austria,4.475972763
01-08-2018,Singapore,3.073666152
03-01-2023,India,7.858880116
01-10-2020,India,1.999868858
14-06-2019,India,7.048399964
06-08-2022,Germany,6.742704054
09-04-2020,Germany,7.948347703
07-05-2022,Canada,2.370475607
28-07-2017,Argentina,3.628638334
06-10-2022,Nepal,8.098733685
11-07-2021,Singapore,5.279870938
06-05-2022,Canada,2.063092963
04-09-2020,USA,7.725960225
31-01-2023,Argentina,3.756251084
25-11-2017,China,1.681054247
06-11-2017,Austria,8.233377715
06-04-2016,Germany,5.609860522
04-10-2023,USA,8.497006918
26-06-2022,Poland,7.249948717
11-02-2019,Germany,1.781621712
09-08-2020,India,4.793505763
30-12-2017,Poland,4.595605831
13-12-2023,China,2.770424031
18-05-2021,Germany,4.55119491
10-06-2017,Canada,8.283386652
22-06-2018,Canada,3.935727394
16-04-2016,Brazil,3.747407792
26-08-2021,UK,7.504131661
22-12-2016,Brazil,4.381515629
01-05-2018,Canada,3.517524568
25-03-2020,Nepal,7.194962243
12-12-2023,Singapore,1.756879912
01-09-2021,UK,3.7016201
31-07-2023,Brazil,2.31145121
03-11-2020,Nepal,7.554374088
28-11-2022,USA,6.103622705
14-05-2017,Singapore,4.733834415
06-10-2017,USA,2.81307779
15-11-2022,Brazil,5.858437108
31-07-2020,Canada,5.877861195
11-11-2022,USA,2.924907668
08-09-2017,Singapore,2.417092603
15-01-2019,China,4.566812666
29-10-2020,Argentina,4.892982579
12-01-2017,USA,8.312027711
19-01-2019,Germany,7.095196133
15-08-2016,Argentina,2.608647147
31-01-2017,Singapore,1.595721251
29-03-2017,Nepal,2.152464409
12-01-2020,UK,4.730135259
28-11-2015,UK,6.033967821
07-10-2017,India,4.988628533
14-09-2015,Argentina,3.543030922
25-02-2023,Argentina,3.413974277
29-03-2018,Canada,8.361712428
18-04-2021,Austria,4.697505309
06-06-2015,India,4.185102093
09-07-2023,Germany,5.057686241
21-12-2016,India,7.548188541
27-01-2020,China,6.908725929
06-10-2022,Nepal,3.879126702
20-05-2018,Singapore,3.370208641
09-05-2021,USA,3.479872883
15-07-2016,China,7.362331458
30-09-2016,Germany,8.492316333
08-12-2021,Canada,7.556824163
22-01-2020,Canada,5.270064044
02-06-2018,Brazil,3.82707969
31-12-2015,Singapore,4.140470379
28-09-2022,Brazil,7.587211783
12-06-2023,Argentina,3.171638809
07-10-2018,Nepal,3.134937122
19-06-2016,Nepal,1.805531094
05-02-2021,Argentina,4.810833752
09-09-2020,Nepal,4.202551267
28-04-2016,Poland,7.046755625
29-07-2016,Poland,8.365726971
03-05-2020,Canada,8.253771069
10-07-2018,India,5.016038051
01-03-2022,Germany,3.823962928
09-10-2018,UK,7.619332618
04-03-2017,Canada,2.197981884
19-03-2018,Canada,1.607433185
11-05-2016,India,4.369850338
13-11-2019,Poland,8.289697558
08-04-2022,UK,4.786434207
08-06-2022,China,3.869928638
12-06-2015,Argentina,4.282383267
28-08-2022,UK,7.462357046
05-10-2016,Poland,7.515395289
21-07-2021,Nepal,8.178977148
17-04-2016,Poland,6.531021977
09-06-2019,Canada,7.606681122
15-02-2018,USA,5.822216231
08-06-2021,Austria,5.918127118
20-02-2016,China,8.481981461
26-02-2021,Argentina,2.132655315
23-03-2017,UK,6.822587851
19-11-2017,Argentina,7.608054628
26-01-2018,Canada,2.664553507
07-07-2019,China,7.823968434
30-07-2021,USA,3.770622667
07-01-2015,USA,3.553574432
06-07-2019,Brazil,4.514807515
01-03-2015,Austria,5.218164227
04-10-2023,Germany,6.272602599
11-11-2016,India,2.689885543
05-01-2020,UK,5.766442508
19-01-2017,Nepal,5.83797258
11-04-2016,Austria,4.983670767
13-06-2020,Germany,2.501824041
08-09-2016,Canada,5.965332417
03-01-2023,Canada,3.287286957
02-02-2021,USA,7.792359722
16-10-2023,Canada,7.808465965
30-12-2019,Poland,5.326186963
27-09-2018,UK,4.592108485
15-07-2018,Brazil,8.413561867
07-04-2016,China,5.972570917
28-11-2023,Nepal,6.332194587
02-11-2022,Canada,7.417127476
13-04-2015,Austria,8.495614959
13-11-2018,Canada,2.246572872
04-04-2018,Nepal,5.503458846
01-11-2023,Germany,3.571106732
28-09-2016,Argentina,3.566615277
26-10-2015,Poland,4.270640186
09-08-2018,USA,5.461503119
08-12-2018,Poland,6.94818131
16-11-2022,USA,7.874318676
04-12-2015,Argentina,4.977091006
06-01-2020,China,6.930186857
05-08-2022,Austria,5.749454987
30-05-2015,Brazil,3.033031772
02-06-2015,Austria,5.846238142
30-07-2016,Poland,6.789041266
11-05-2016,Poland,6.265985659
18-06-2021,India,5.897736726
25-09-2021,Poland,6.024384262
20-09-2020,China,7.020273388
06-01-2015,USA,5.557016638
06-04-2019,Argentina,2.419882645
10-07-2023,China,3.78703388
15-01-2020,Nepal,2.729480493
09-05-2022,India,7.005589677
13-06-2017,Brazil,5.215966616
02-09-2017,China,7.313308337
23-04-2021,China,7.898342675
07-02-2018,Canada,8.271688533
04-02-2023,China,6.725915455
08-01-2016,Brazil,7.12962777
30-11-2019,Canada,8.24025305
09-09-2016,India,6.779060451
05-09-2023,Austria,7.520984178
18-06-2021,Argentina,6.220843612
20-12-2015,Nepal,8.270888231
05-12-2015,Singapore,4.060425346
08-01-2016,Nepal,1.597430586
20-03-2020,Singapore,2.365121157
13-04-2017,Brazil,6.209798673
14-03-2017,Poland,3.335129858
27-03-2022,Nepal,7.256921109
23-05-2019,Brazil,2.258422715
25-10-2018,Austria,4.800338076
22-09-2015,Germany,7.689643917
30-07-2021,Singapore,3.796043973
07-05-2023,Germany,3.049570401
05-04-2019,UK,5.947827457
21-05-2017,Canada,7.865713469
08-11-2022,China,6.044676124
07-02-2022,UK,2.478439088
24-05-2023,USA,3.63055209
25-02-2015,Canada,2.312843365
23-09-2017,Austria,7.71081516
08-07-2019,India,4.220520818
01-05-2017,Brazil,6.193403532
30-07-2021,Argentina,6.375387941
26-04-2020,Singapore,4.433887274
18-10-2015,Argentina,6.586194054
30-07-2022,Nepal,6.084453282
22-06-2018,Canada,5.809565498
10-10-2016,China,1.729014008
15-05-2023,Brazil,3.020887793
03-01-2019,Canada,8.153886189
31-05-2016,Brazil,2.195482372
31-07-2021,Poland,4.071344709
05-08-2016,Poland,4.010716888
09-02-2023,Nepal,3.431170086
22-03-2018,UK,8.143075518
07-11-2023,Canada,2.141713967
17-10-2023,Austria,5.991931271
26-11-2022,Germany,8.297653184
14-10-2015,USA,7.007562133
22-04-2023,Austria,8.421746328
01-07-2022,Germany,2.936439026
16-06-2022,Singapore,2.950101592
23-03-2019,Austria,7.191370868
04-01-2021,Austria,3.799916874
15-03-2015,India,7.02050628
28-09-2016,Germany,1.51984886
22-05-2018,India,8.412691131
26-10-2019,Singapore,3.254579377
10-11-2019,India,2.269484435
19-11-2015,USA,2.422622607
17-08-2020,Brazil,7.02989265
26-06-2020,Austria,5.621970454
16-02-2016,USA,2.71972341
17-06-2022,USA,2.387309806
23-02-2019,Nepal,5.182598686
28-03-2019,Argentina,1.944906267
29-07-2015,Canada,6.946119275
08-12-2020,Singapore,5.655662125
10-05-2017,Canada,5.026870829
30-04-2017,Germany,1.803555258
04-03-2020,Poland,5.150158503
24-12-2017,Canada,6.003384789
19-02-2015,USA,1.925777852
16-09-2019,Canada,7.431089802
12-04-2019,Nepal,6.302682472
08-01-2020,Canada,6.486809204
18-12-2022,Canada,2.01443501
20-12-2017,UK,3.754782738
02-06-2021,India,1.959775633
30-03-2016,China,5.87022246
01-01-2019,Germany,5.338495038
12-02-2015,Brazil,4.166330792
25-10-2019,Germany,5.213897862
11-02-2019,Canada,5.038857521
28-02-2015,Nepal,2.194249232
07-10-2021,Argentina,2.300898507
07-04-2017,Poland,6.056416654
24-07-2017,Singapore,6.545879417
04-05-2023,Austria,4.510489592
08-02-2022,Austria,4.396694998
14-05-2022,Canada,4.29111129
02-06-2016,Argentina,2.165600875
29-11-2021,Nepal,3.687664998
06-05-2016,China,4.120107164
09-08-2015,India,6.307747248
30-05-2019,Canada,1.969933157
19-08-2021,UK,2.152610712
18-08-2020,UK,6.712122784
13-07-2018,Brazil,7.182384997
21-05-2022,Singapore,1.919866846
11-07-2016,Singapore,5.431783671
02-04-2019,Poland,2.355618997
17-06-2023,Brazil,7.615251606
18-01-2023,Nepal,7.576645042
04-10-2019,Argentina,1.86012256
17-10-2016,China,5.702870639
22-02-2015,Brazil,2.225203961
14-05-2020,Singapore,2.98917164
18-02-2021,Poland,4.875325773
20-06-2022,UK,3.95079796
30-06-2022,Singapore,4.072927354
20-08-2020,China,5.51870003
02-09-2021,Nepal,7.416086129
05-09-2017,Germany,5.795012964
14-07-2020,Poland,5.397178286
18-02-2023,Germany,8.003590037
02-11-2020,Argentina,3.372134076
31-10-2020,India,3.412892721
13-06-2020,China,7.950762647
14-11-2021,Brazil,1.542740526
11-01-2021,India,5.464247663
13-05-2018,Nepal,1.987097949
05-02-2021,Argentina,5.932204089
28-04-2020,USA,2.142303781
04-02-2023,Singapore,3.00593016
22-07-2022,Nepal,4.675520535
05-09-2019,India,4.090371647
01-01-2021,Argentina,3.770680245
13-10-2015,Germany,5.673566405
24-05-2020,USA,2.589059324
17-12-2023,Germany,1.848337447
27-07-2020,UK,3.404719905
29-01-2023,Poland,4.468103412
09-03-2021,Germany,4.594309307
05-04-2018,China,3.008982757
25-05-2016,Singapore,2.296722557
12-05-2020,Nepal,2.276228405
15-07-2021,Poland,6.249403783
22-08-2023,Canada,5.18853875
03-04-2020,China,1.817921538
14-01-2019,Nepal,8.391119608
13-03-2015,USA,1.553809601
19-11-2016,China,8.117268611
07-12-2023,India,6.84912627
27-02-2022,China,3.796856492
21-02-2021,USA,4.9816973
30-01-2020,Nepal,2.729863613
28-04-2023,Nepal,5.228076435
19-09-2023,Austria,5.001836426
17-02-2023,Poland,7.143401306
02-11-2023,UK,4.27949822
05-10-2020,Argentina,1.796115831
11-03-2016,USA,4.718279752
25-03-2022,UK,7.534770095
23-04-2016,Germany,4.504990004
03-01-2018,Nepal,6.466492731
19-07-2020,Nepal,3.526606439
14-03-2019,Nepal,1.645995913
06-05-2020,Brazil,2.703112264
19-01-2015,Germany,4.720678313
23-08-2018,Argentina,7.938388262
06-09-2017,UK,4.556982457
21-08-2017,UK,3.203215324
19-04-2021,Germany,4.303148714
01-07-2019,UK,4.270366878
27-11-2016,China,6.720633785
24-04-2019,Austria,3.831480357
07-03-2017,India,2.034655642
20-04-2016,Poland,2.298186479
26-01-2016,Singapore,2.857325944
14-03-2015,Brazil,3.957698145
01-05-2016,Poland,7.20525904
25-11-2017,Austria,2.219631694
27-05-2021,China,2.88090262
16-02-2022,Germany,2.570088523
05-02-2023,Poland,2.027472915
05-01-2019,Poland,4.958819175
15-12-2019,Germany,6.819140047
23-06-2016,Canada,6.267934348
25-05-2023,Germany,6.000942815
20-08-2015,Germany,3.762457692
03-01-2015,Poland,3.712972261
30-03-2019,Canada,1.978003809
20-01-2021,Canada,5.91969584
26-07-2017,China,5.639938298
08-09-2021,Brazil,5.051358197
18-10-2023,China,4.732197405
25-05-2021,USA,1.898230356
04-12-2020,China,2.037117008
09-11-2017,UK,5.805058719
03-11-2020,Singapore,4.191377336
29-09-2023,Germany,5.380214599
05-05-2017,Argentina,7.771137359
02-10-2017,Canada,7.863349696
23-09-2017,Germany,6.062862183
22-06-2017,Brazil,5.735040838
01-10-2021,Singapore,2.556027537
21-05-2019,USA,4.653661763
21-09-2018,Brazil,8.376699068
22-07-2015,UK,5.031843011
17-07-2023,India,1.773994883
05-07-2018,Argentina,4.56430792
11-01-2021,Canada,5.168479872
25-10-2021,Germany,2.611223456
19-01-2020,Brazil,7.925557524
25-04-2015,Nepal,4.361385781
26-08-2021,Brazil,6.252284044
12-01-2021,USA,7.024588521
08-04-2017,Poland,3.842545431
26-10-2016,Brazil,2.161541633
22-01-2019,Poland,4.205949433
08-11-2017,China,6.566135585
23-04-2021,Poland,8.250870201
22-02-2015,Germany,7.612957634
09-08-2022,Brazil,2.070513912
11-02-2019,Poland,2.489998664
01-12-2020,Brazil,3.671622163
20-03-2016,Poland,6.38935974
29-09-2019,Nepal,2.402661608
22-05-2016,Argentina,8.066015397
29-01-2019,China,5.412454491
29-08-2019,Poland,7.041633705
19-03-2019,India,6.1908148
17-02-2019,Argentina,8.480148791
12-01-2017,Singapore,2.154170755
29-03-2023,Poland,4.463844564
01-02-2015,Brazil,1.627613765
01-01-2021,China,2.76184046
07-12-2021,Austria,3.892126416
06-07-2021,Canada,2.844036636
05-08-2019,India,2.584616211
21-09-2020,China,7.410998721
10-10-2017,UK,5.053827989
12-04-2021,Singapore,7.345838786
06-04-2023,Singapore,1.764232447
23-03-2020,Brazil,7.634749408
29-11-2016,Germany,2.41734329
27-07-2020,Nepal,2.579769329
13-01-2016,India,7.319415397
10-06-2019,Germany,7.163306037
28-07-2018,India,6.548280985
09-09-2022,USA,4.37601028
15-03-2021,Poland,6.537099717
04-08-2017,Canada,5.774167955
22-06-2015,Argentina,6.986602516
22-03-2022,Austria,5.238078048
27-01-2020,China,8.25917646
17-06-2021,Canada,7.827820367
06-07-2022,Austria,4.074886708
10-07-2023,Germany,8.391078555
18-05-2019,Canada,6.886069864
16-03-2019,Nepal,5.02034684
20-09-2017,Nepal,8.263877072
29-04-2018,Austria,7.108814569
24-05-2021,India,7.61101344
02-10-2017,USA,5.988253253
07-08-2023,Brazil,5.381785218
20-03-2021,UK,6.47980684
22-04-2021,Singapore,7.458162337
16-08-2017,China,2.087125878
21-09-2017,India,3.409539097
05-05-2021,Singapore,2.531440592
23-12-2022,Nepal,2.141994988
08-08-2018,Austria,7.216922791
19-01-2021,Brazil,8.01330349
20-01-2022,Nepal,1.87279821
11-06-2023,Singapore,4.117730414
18-05-2018,Nepal,8.461677459
07-09-2023,Brazil,3.07177131
11-06-2017,Brazil,8.015781333
03-05-2017,Argentina,6.04972479
